stamp_sec,cx,cy,w,h,cx_ref,cy_ref,D0,transformX,transformY,transformZ
1760584701.0,327.0,565.0,160.0,160.0,360.0,480.0,300.0,-1.06,0.9260000000000002,-4.286
1760584743.0,271.0,5.090909004211426,14.0,14.0,360.0,480.0,300.0,1.8360000000000003,0.8929999999999998,-3.693
1760584783.0,825.0,180.0,162.0,162.0,360.0,480.0,300.0,1.069,-1.8199999999999998,-4.2620000000000005
1760584823.0,229.0,618.0,134.0,134.0,360.0,480.0,300.0,-1.627,1.7380000000000004,-5.283
1760584862.0,508.5,237.5,151.0,151.0,360.0,480.0,300.0,0.802,-0.09200000000000008,-4.5969999999999995
1760584900.0,733.0,478.0,182.0,182.0,360.0,480.0,300.0,-0.4969999999999999,-1.1629999999999998,-3.7119999999999997
1760584942.0,686.5,350.5,135.0,135.0,360.0,480.0,300.0,0.1419999999999999,-1.2799999999999998,-5.245
1760584982.0,392.0,85.0,134.0,134.0,360.0,480.0,300.0,1.9029999999999996,0.6619999999999999,-5.282
1760585020.0,242.0,276.0,134.0,134.0,360.0,480.0,300.0,0.6360000000000001,1.6529999999999996,-5.279
1760585057.0,666.5,209.5,137.0,137.0,360.0,480.0,300.0,1.0510000000000002,-1.126,-5.116
1760585095.0,930.5,645.0,59.0,150.0,360.0,480.0,300.0,1.755,-1.7200000000000002,-4.0600000000000005
1760585134.0,771.5,3.5,10.0,10.0,360.0,480.0,300.0,1.795,-1.6760000000000002,-4.082
1760585174.0,217.0,277.5,134.0,133.0,360.0,480.0,300.0,0.629,1.8289999999999997,-5.356
1760585216.0,840.5,138.5,161.0,161.0,360.0,480.0,300.0,1.3019999999999996,-1.916,-4.291
1760585255.0,724.0,191.5,144.0,145.0,360.0,480.0,300.0,1.1159999999999997,-1.424,-4.856
1760585293.0,267.5,442.5,137.0,137.0,360.0,480.0,300.0,-0.45500000000000007,1.4589999999999996,-5.176
1760585332.0,609.5,258.5,185.0,185.0,360.0,480.0,300.0,0.5699999999999998,-0.5489999999999999,-3.626
1760585372.0,410.9444580078125,643.5,148.0,148.0,360.0,480.0,300.0,-1.537,0.04100000000000037,-4.01
1760585412.0,485.5,538.5,189.0,189.0,360.0,480.0,300.0,-0.762,0.04900000000000038,-3.525
1760585453.0,805.0,6.0,18.0,18.0,360.0,480.0,300.0,0.5369999999999999,-2.317,-3.9450000000000003
1760585493.0,609.0,564.5,144.0,143.0,360.0,480.0,300.0,-1.187,-0.7250000000000001,-4.9190000000000005
1760585533.0,553.5,308.5,177.0,177.0,360.0,480.0,300.0,0.3410000000000002,-0.2959999999999998,-3.819
1760585575.0,929.5,644.0,61.0,152.0,360.0,480.0,300.0,1.8070000000000004,-2.056,-4.449
1760585620.0,659.0,414.0,144.0,144.0,360.0,480.0,300.0,-0.254,-1.0299999999999998,-4.878
1760585659.0,573.5,593.0,147.0,148.0,360.0,480.0,300.0,-1.322,-0.4870000000000001,-4.711
1760585700.0,112.0,526.0,140.0,140.0,360.0,480.0,300.0,-0.9740000000000002,2.412,-5.046
